"1 star","1 sao"
"2 stars","2 sao"
"3 stars","3 sao"
"4 stars","4 sao"
"5 stars","5 sao"
"Add New Rating","Thêm đánh giá"
"Assigned Options","Tùy chọn đã gán"
"Be the first to review this product","Be the first to review this product"
"Default Value","Giá trị mặc định"
"Delete Rating","Xóa đánh giá"
"Edit Rating","Sửa đánh giá"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","Manage Ratings"
"New Rating","Đánh giá mới"
"Option Label","Tùy chọn nhãn"
"Option Title","Tùy chọn tiêu đề"
"Option Title:","Tùy chọn tiêu đề:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Thông tin đánh giá"
"Rating Name","Tên đánh giá"
"Rating Options","Tùy chọn đánh giá"
"Rating Title","Tiêu đề đánh giá"
"Rating Visibility","Đánh giá hiển thị"
"Rating isn't Available","Rating isn't Available"
"Rating with the same title","Rating with the same title"
"Save Rating","Lưu đánh giá"
"Visible In","Hiện thị trong"
