"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"A directory with the same name already exists. Please try another folder name.","A directory with the same name already exists. Please try another folder name."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"Action","Thao tác"
"Add New Block","Thêm khối mới"
"Add New Page","Thêm trang mới"
"All Countries","Tất cả quốc gia"
"An error occurred while saving the page.","Lỗi khi lưu trang web."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","Are you sure you want to delete current folder?"
"Are you sure you want to delete the selected file?","Are you sure you want to delete the selected file?"
"Block","Khối"
"Block Information","Thông tin của khối"
"Block Title","Tiêu đề của khối"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS Home Page"
"CMS No Cookies Page","CMS No Cookies Page"
"CMS No Route Page","CMS No Route Page"
"CMS No-Route Page","CMS No-Route Page"
"CMS Page","CMS Page"
"CMS Page Link","CMS Page Link"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","CMS Pages (All)"
"CMS Static Block","CMS Static Block"
"CMS Static Block Default Template","CMS Static Block Default Template"
"Cannot create new directory.","Không thể tạo mới thư mục."
"Cannot delete directory %s.","Không thể xóa thư mục %s."
"Cannot delete root directory %s.","Không thể xóa thư mục gốc %s."
"Cannot upload file.","Không thể tải tệp lên."
"Collapse All","Thu gọn"
"Content","Nội dung"
"Content Heading","Nội dung tiêu đề"
"Content Management","Quản lý nội dung"
"Contents of a Static Block","Nội dung cho khối tĩnh"
"Create Folder...","Tạo thư mục..."
"Custom Design","Tùy chỉnh thiết kế"
"Custom Design From","Tùy chỉnh thiết kế từ"
"Custom Design To","Tùy chỉnh thiết kế đến"
"Custom Layout","Tùy chỉnh bố cục"
"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","Tùy chỉnh giao diện"
"Customer Tax Class Information","Thông tin thuế theo nhóm khách hàng"
"Date Created","Ngày tạo"
"Delete Block","Xóa khối"
"Delete File","Xóa tệp"
"Delete Folder","Xóa thư mục"
"Delete Page","Xóa trang"
"Description","Mô tả"
"Design","Thiết kế"
"Disabled","Đã tắt"
"Disabled Completely","Tắt hoàn toàn"
"Disabled by Default","Mặc định là tắt"
"Edit Block","Sửa khối"
"Edit Block '%s'","Sửa khối '%s'"
"Edit Page","Sửa trang"
"Edit Page '%s'","Sửa trang '%s'"
"Enable WYSIWYG Editor","Bật trình soạn thảo WYSIWYG"
"Enabled","Đã bật"
"Enabled by Default","Đã bật theo mặc định"
"Expand All","Expand All"
"General Information","Thông tin chung"
"Go to Home Page","Chở về trang chủ"
"Home","Trang chủ"
"ID","ID"
"Identifier","Identifier"
"If empty, the Page Title will be used","Nếu rỗng, tiêu đề của trang sẽ được sử dụng"
"Images (%s)","Hình ảnh (%s)"
"Insert File","Chèn tập tin"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Tên thư mục không hợp lệ. Hãy dùng chữ, số, gạch dưới,hoặc gạch đầu hàng."
"Keywords","Từ khóa"
"Last Modified","Lần sửa cuối"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Link to a CMS Page","Liên kết đến một CMS"
"Manage Pages","Quản lý trang"
"Media Gallery","Thư viện"
"Media Storage","Lưu trữ Media"
"Meta Data","Dữ liệu tìm kiếm"
"Meta Description","Mô tả tìm kiếm"
"Meta Keywords","Từ khóa tìm kiếm"
"New Block","Khối mới"
"New Folder Name:","Tên thư mục mới:"
"New Page","Trang mới"
"No files found","Không tìm thấy tệp"
"Page Information","Thông tin trang"
"Page Layout","Khung của trang"
"Page Status","Trạng thái trang"
"Page Title","Tiêu đề trang"
"Pages","Trang"
"Product Tax Class Information","Thông tin thuế của nhóm sản phẩm"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Relative to Website Base URL","Relative to Website Base URL"
"Save Block","Lưu khối"
"Save Page","Lưu trang"
"Save Process","Lưu quá trình"
"Select Block...","Chọn khối..."
"Select Page...","Chọn trang..."
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Show Notice if JavaScript is Disabled","Hiện thông báo nếu JavaScript bị tắt"
"Static Blocks","Khối tĩnh"
"Status","Hiện trạng"
"Storage Root","Storage Root"
"Store View","Cửa hàng"
"Template","Mẫu sẵn"
"The block has been deleted.","Khối đã bị xóa."
"The block has been saved.","Khối đã được lưu."
"The directory %s is not writable by server.","Thư mục %s không thể được ghi bở máy chủ."
"The page URL key cannot consist only of numbers.","The page URL key cannot consist only of numbers."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page has been deleted.","Trang đã bị xóa."
"The page has been saved.","Trang đã được lưu."
"The static block content cannot contain  directive with its self.","Nội dung của một khối tĩnh không thế chứa chính nó."
"This block no longer exists.","Khối này không còn tồn tại."
"This page no longer exists.","Trang này không còn tồn tại."
"Title","Tiêu đề"
"URL Key","Khóa đường dẫn"
"Unable to find a block to delete.","Không thể tìm thấy khối để xóa."
"Unable to find a page to delete.","Không thể tìm thấy trang để xóa."
"WYSIWYG Options","Tùy chọn WYSIWYG"
"px.","px."
